,country,year,contamination_ml,population_ml,PBI_ml,forest_ml,wage_ml,life_expect_ml
196,Estonia,2003,182.753,11015262.828,28532.6073,32750.270000000004,10062.817845168118,71.8
197,Estonia,2004,173.727,10964322.828,30463.5391,29322.931,10895.539972644225,72.4
198,Estonia,2005,155.328,10916312.784000002,33354.6194,28989.042999999998,11646.169021209489,72.9
199,Estonia,2006,141.555,10861692.840999998,37136.4503,24574.703999999994,12778.249530809218,73.1
200,Estonia,2007,157.475,10817992.834000003,40561.3576,23421.521000000004,15077.72379948369,73.2
201,Estonia,2008,156.43,10796022.164,37364.5122,22347.346,15546.915026249068,74.2
202,Estonia,2009,155.839,10781711.151999999,31971.3676,25921.625,15010.046721481302,75.2
203,Estonia,2010,156.673,10762800.251999998,32836.8014,29842.398999999998,15066.385466658001,75.9
204,Estonia,2011,131.747,10733947.652,35280.3798,31704.645999999997,14636.361934658735,76.4
205,Estonia,2012,141.861,10696187.227,36377.6824,34252.183,15387.493089995934,76.5
206,Estonia,2013,134.217,10656018.746,36867.3943,34318.962,15722.3110743753,77.3
207,Estonia,2014,128.754,10623506.367,38300.1631,34337.136000000006,16575.9531006726,77.2
208,Estonia,2015,128.787,10617018.337,39006.7572,34417.816,17206.835141087202,77.7
209,Estonia,2016,139.947,10618306.687000003,40675.2684,35747.825,18178.976818082567,77.8
210,Estonia,2017,138.13,10624163.052000005,44363.5168,36386.34,18851.854818386633,78.2
211,Finland,1990,708.1610000000001,39533913.645000026,168589.9764,135840.682,28281.268197635636,75.0
212,Finland,1991,683.8539999999999,39761775.344,154951.2781,138550.8938,28883.81721475016,75.5
213,Finland,1992,669.9910000000001,39995367.07200001,146117.0815,141261.1056,28691.594331427466,75.7
214,Finland,1993,650.7769999999999,40185400.91700001,141063.6888,143971.3174,27919.8558605202,75.8
215,Finland,1994,631.52,40368611.03599999,146613.8373,146681.52920000002,28370.8574688105,76.6
216,Finland,1995,616.3380000000001,40552541.34799999,153306.2065,149391.741,29551.3406894987,76.6
217,Finland,1996,608.571,40744739.636999995,158400.9172,152322.1416,30330.55297326967,76.9
218,Finland,1997,601.029,40945203.888,168434.4035,155252.5422,30509.09212772683,77.1
219,Finland,1998,586.7230000000001,41145118.063999996,177625.8669,158182.94280000002,31435.032453371532,77.3
220,Finland,1999,572.862,41330378.087,185405.2651,161113.3434,32295.7738935516,77.5
221,Finland,2000,545.2869999999999,41492555.99099999,196109.3892,164043.744,33120.83446319427,77.7
222,Finland,2001,545.12,41652081.78199999,201227.3489,163603.706,33537.34077239116,78.2
223,Finland,2002,530.99,41813105.55600002,204662.5047,166401.703,33878.93165325336,78.3
224,Finland,2003,510.772,41968259.53,208763.3305,169396.702,34625.8703169433,78.5
225,Finland,2004,492.434,42138843.756000005,217097.8677,170624.695,35816.0527222527,79.0
226,Finland,2005,465.75199999999995,42338243.84199999,223132.3658,376118.661,36745.780291145435,79.1
227,Finland,2006,454.661,42545412.21,232118.91199999998,377537.634,37739.3760343265,79.5
228,Finland,2007,437.077,42770312.39100001,256039.4176,389330.699,38521.274485382135,79.6
229,Finland,2008,414.967,43014310.17299999,284564.5178,391026.675,39269.5843495677,79.9
230,Finland,2009,394.881,43246624.350999996,261587.0269,379842.568,39800.11573877904,80.1
231,Finland,2010,406.275,43454633.073999986,260525.1492,394654.686,40600.08417559423,80.2
232,Finland,2011,368.838,43640980.48799999,276806.2081,396547.692,41135.12544665446,80.6
233,Finland,2012,364.88300000000004,43822104.160000004,274523.6085,396496.683,41519.65402769214,80.7
234,Finland,2013,350.923,43995823.70499998,274145.2338,404647.74,41389.67249525003,81.1
235,Finland,2014,345.30300000000005,44152627.01999999,277104.2626,404538.74,41552.14449133797,81.3
236,Finland,2015,328.708,44279732.077999994,281065.8896,408285.77,41987.25896409283,81.6
237,Finland,2016,334.94300000000004,44396464.84600001,244896.0172,410962.801,42381.07863780844,81.5
238,Finland,2017,326.117,44492875.48899999,257428.622,411752.815,42304.680713251,81.7
239,France,1990,10280.11,448508640.2369999,1870872.6352,228064.63,27371.71254148254,77.0
240,France,1991,10792.26,461477216.1969999,1877830.6306,231950.632,27871.194217896835,77.2
241,France,1992,10081.62,463564103.727,1901132.8591,236161.638,28362.61006110277,77.5
242,France,1993,9626.399,465519953.274,1889181.0761,238074.62,28801.11940051753,77.6
243,France,1994,8933.404,467290474.8000001,1933734.4307,241926.621,28989.277341963167,78.0
244,France,1995,8964.139000000001,469062166.399,1974472.3218,245929.625,29495.653120996703,78.1
245,France,1996,8407.44,471014709.999,2002371.4911,250424.634,29702.025030414134,78.3
246,France,1997,7863.203,473206341.5220001,2049152.8261,254446.638,30102.422395774967,78.6
247,France,1998,7565.479,475487111.05799997,2122689.9424,256982.655,30583.6647913262,78.8
248,France,1999,7140.475,478427076.72800004,2195315.1003,257539.652,31218.2284272082,78.9
249,France,2000,6501.545,482187856.66099995,2281452.0028,260243.343,31557.2023777076,79.2
250,France,2001,6141.225,486175642.769,2326709.6544,262947.034,31926.776321502362,79.3
251,France,2002,5921.653,490202084.84800005,2353130.1752,265650.725,32864.872828802836,79.4
252,France,2003,5630.348000000001,494187962.8300001,2372500.2199,262152.648,33287.40942872073,79.3
253,France,2004,5731.04,498335112.848,2439636.1143,260163.587,34034.5681779402,80.3
254,France,2005,5235.573,502619478.69899994,2480212.6301,253282.5716,34625.34462041163,80.4
255,France,2006,4656.7609999999995,506639644.21500003,2540961.0634,246401.5562,35230.4728209828,81.0
256,France,2007,4491.071,510224189.73199993,2676054.8151,239520.54080000002,35580.595861745,81.2
257,France,2008,4276.554,513396821.606,2952297.7295,232639.5254,35801.0214948163,81.4
258,France,2009,3811.7129999999997,516276115.68799996,2877943.137,225758.51,36774.400303785,81.5
259,France,2010,4206.152,519095033.71599996,2767003.3667,229490.513,37644.164382220595,81.8
260,France,2011,3530.502,521760892.078,2917146.9722,232328.527,37793.62648606684,82.3
261,France,2012,3189.599,524235496.926,2904734.4681,233475.532,38212.4324282977,82.1
262,France,2013,3253.64,526871825.903,2840160.5551,232864.521,38615.9116987057,82.3
263,France,2014,2726.5820000000003,531065961.043,2884835.2523,231013.516,38896.0650491716,82.8
264,France,2015,2683.175,533060073.99,2929099.0701,257916.03157142858,39310.31659688587,82.4
265,France,2016,2733.047,534662242.7720001,149821123800.0,284818.54714285716,39735.390644137064,82.6
266,France,2017,2689.949,536051971.45199996,371441601200.0,311721.06271428574,40117.8595406374,82.6
267,Germany,1990,12543.65,639776816.4879999,2710068.2185,338623.5782857143,35125.90510781822,77.2
268,Germany,1991,10317.6,644715349.2030002,2848505.5901,365526.0938571429,30133.950674999036,75.5
269,Germany,1992,8932.45,649728969.9369999,2910452.5581,392428.6094285715,32303.263586624304,76.0
270,Germany,1993,8134.865,653953980.8759998,2876337.2448,419331.12500000006,32891.90108109563,76.1
271,Germany,1994,6779.378000000001,656272237.9849999,2946982.8904,422882.5,33153.674436345806,76.4
272,Germany,1995,6482.4580000000005,658080673.3460002,2994367.0635,425033.488,34006.563478027536,76.6
273,Germany,1996,6028.376,659773168.9229999,3013658.9321,426530.79500000004,34388.17962639184,76.9
274,Germany,1997,5891.4980000000005,660829784.6860001,3067411.675,430879.69700000004,34309.1008096165,77.3
275,Germany,1998,5449.42,661283338.7409996,3129344.1734,432458.58599999995,34686.97822555387,77.7
276,Germany,1999,5107.879,662039257.2649996,3195920.2694,433070.69800000003,35270.035913345164,77.9
277,Germany,2000,4830.899,663160082.2340001,3280864.5682,453237.128,35514.45537530427,78.2
278,Germany,2001,4655.124,664518519.2809999,3336564.8677,435183.765,36032.972419131,78.5
279,Germany,2002,4379.838,665930782.2660002,3329943.1523,435502.89999999997,36344.91317185623,78.5
280,Germany,2003,4199.604,666624313.269,3306182.8932,435732.4530000001,36474.246002897366,78.6
281,Germany,2004,3961.349,666732198.4510001,3345523.6560000004,445712.88300000003,36568.4682808584,79.2
282,Germany,2005,3753.185,666598479.622,3369673.4445,449159.12600000005,36657.924950485765,79.4
283,Germany,2006,3656.683,666176158.5270001,3498212.6001,456900.86899999995,36796.44570704814,79.8
284,Germany,2007,3540.3509999999997,665835456.905,3602601.9673,470944.364,36901.0243173392,80.1
